timestamp,open,high,low,close,volume
2022-04-21,9.16000000,9.78000000,8.91000000,9.04000000,4615530.82000000
2022-04-22,9.04000000,9.46000000,8.99000000,9.26000000,2654784.21000000
2022-04-23,9.27000000,9.55000000,9.11000000,9.28000000,2346193.99000000
2022-04-24,9.29000000,9.68000000,9.26000000,9.27000000,2537296.90000000
2022-04-25,9.26000000,9.29000000,8.56000000,8.87800000,5896292.82000000
2022-04-26,8.87800000,8.99200000,7.44300000,7.52000000,8356109.56000000
2022-04-27,7.51800000,7.84800000,7.35700000,7.58100000,4008939.82000000
2022-04-28,7.58100000,8.49500000,7.42500000,8.27000000,10216831.54000000
2022-04-29,8.27000000,8.38600000,7.64500000,7.71500000,5718494.49000000
2022-04-30,7.71500000,7.92500000,7.21900000,7.22200000,3732816.53000000
2022-05-01,7.22200000,7.75000000,7.14000000,7.74600000,3054805.18000000
2022-05-02,7.74600000,7.86500000,7.49200000,7.64100000,2568332.16000000
2022-05-03,7.64100000,7.90000000,7.37300000,7.40300000,1722167.78000000
2022-05-04,7.40200000,7.85000000,7.37800000,7.78300000,2163299.15000000
2022-05-05,7.78500000,7.94400000,7.23800000,7.53700000,3805293.56000000
2022-05-06,7.53700000,7.62000000,7.29100000,7.43900000,2225634.13000000
2022-05-07,7.44000000,7.90000000,7.16000000,7.27500000,1679400.08000000
2022-05-08,7.27300000,7.29600000,6.76800000,7.00500000,2275732.13000000
2022-05-09,7.00700000,7.14600000,5.56000000,5.56800000,5536167.20000000
2022-05-10,5.56500000,6.32800000,5.36600000,5.82700000,5044959.93000000
2022-05-11,5.82900000,5.91100000,4.03000000,4.27600000,9160288.70600000
2022-05-12,4.28000000,4.50000000,3.28800000,3.86000000,11033149.23700000
2022-05-13,3.86000000,4.75000000,3.79100000,4.32700000,6163241.34000000
2022-05-14,4.32800000,4.41400000,3.97400000,4.30800000,2629467.64000000
2022-05-15,4.30900000,4.74500000,4.13400000,4.68800000,2308271.69000000
2022-05-16,4.68800000,4.68900000,4.35100000,4.50900000,2401048.84000000
2022-05-17,4.51100000,5.00000000,4.50500000,4.72500000,2593890.39000000
2022-05-18,4.72700000,4.79000000,4.30100000,4.31200000,1779943.13000000
2022-05-19,4.30800000,4.66000000,4.28900000,4.57100000,1398482.36000000
2022-05-20,4.57300000,4.67000000,4.34000000,4.41700000,1271889.77000000
2022-05-21,4.41200000,4.62800000,4.37500000,4.57700000,801681.98000000
2022-05-22,4.57800000,4.85900000,4.56800000,4.84800000,1283053.61000000
2022-05-23,4.84700000,5.14400000,4.71400000,4.80300000,2151802.37000000
2022-05-24,4.80500000,4.99000000,4.65500000,4.87000000,1739111.66000000
2022-05-25,4.86600000,5.02800000,4.72300000,4.77400000,1553889.75000000
2022-05-26,4.77600000,4.84500000,4.31000000,4.36800000,2326731.33000000
2022-05-27,4.36700000,4.44900000,4.17200000,4.29000000,1718993.43000000
2022-05-28,4.29200000,4.39400000,4.20000000,4.34500000,892336.69000000
2022-05-29,4.34700000,4.46400000,4.25500000,4.45700000,1065773.54000000
2022-05-30,4.45400000,4.88000000,4.42800000,4.78100000,1943196.90000000
2022-05-31,4.78300000,4.80900000,4.56800000,4.64500000,1584903.14000000
2022-06-01,4.64500000,4.68600000,4.28000000,4.31700000,1232154.05000000
2022-06-02,4.31700000,4.39600000,4.24400000,4.35400000,1043491.53000000
2022-06-03,4.35400000,4.37200000,4.17100000,4.22200000,972752.70000000
2022-06-04,4.22200000,4.31400000,4.17900000,4.26700000,720493.09000000
2022-06-05,4.26700000,4.45300000,4.20200000,4.37600000,1181685.70000000
2022-06-06,4.37600000,4.96700000,4.37400000,4.55300000,5905200.59000000
2022-06-07,4.55200000,4.55600000,4.22000000,4.44900000,3054204.33000000
2022-06-08,4.44800000,4.55000000,4.38700000,4.44800000,1277700.92000000
2022-06-09,4.44800000,4.49300000,4.35400000,4.37600000,749053.94000000
2022-06-10,4.37400000,4.42200000,4.18800000,4.21900000,1672214.80000000
2022-06-11,4.22000000,4.27300000,3.91700000,3.99800000,1648040.30000000
2022-06-12,3.99800000,4.14600000,3.71900000,3.86600000,3163688.01000000
2022-06-13,3.86300000,3.90100000,3.11500000,3.25400000,6089535.48000000
2022-06-14,3.25300000,3.35600000,3.00000000,3.12500000,4359167.24900000
2022-06-15,3.12600000,3.27500000,2.73400000,3.25100000,5824871.48000000
2022-06-16,3.25200000,3.31400000,2.83000000,2.86800000,3842172.71000000
2022-06-17,2.86900000,3.00300000,2.84400000,2.92100000,1830138.56000000
2022-06-18,2.92200000,2.95400000,2.48600000,2.66800000,3501331.05000000
2022-06-19,2.66800000,3.08800000,2.59900000,3.01100000,3352765.76000000
2022-06-20,3.01000000,3.09900000,2.86500000,3.02300000,2264549.56000000
2022-06-21,3.02100000,3.25000000,2.96000000,3.07900000,2565460.71000000
2022-06-22,3.08000000,3.14800000,2.96500000,3.02400000,2440641.86000000
2022-06-23,3.02500000,3.26500000,3.01700000,3.25000000,2429773.56000000
2022-06-24,3.24900000,3.48100000,3.23100000,3.37300000,1972732.92000000
2022-06-25,3.37300000,3.40000000,3.20700000,3.36500000,1557084.47000000
2022-06-26,3.36500000,3.55000000,3.26900000,3.31100000,2303944.22000000
2022-06-27,3.30900000,3.50000000,3.27300000,3.32000000,1544520.19000000
2022-06-28,3.32000000,3.42000000,3.14300000,3.17000000,1881373.89000000
2022-06-29,3.16900000,3.24000000,3.00900000,3.05000000,2164623.89000000
2022-06-30,3.05200000,3.18000000,2.84200000,3.04600000,2257372.43000000
2022-07-01,3.04500000,3.14900000,2.88000000,3.00300000,2101644.29000000
2022-07-02,3.00400000,3.06500000,2.94400000,3.04100000,1108201.37000000
2022-07-03,3.04200000,3.14500000,2.98600000,3.08300000,1502780.72000000
2022-07-04,3.08400000,3.20900000,3.02100000,3.15100000,1725912.68000000
2022-07-05,3.15100000,3.22200000,3.01000000,3.09100000,2101053.21000000
2022-07-06,3.09200000,3.20000000,3.06700000,3.15000000,1478487.68000000
2022-07-07,3.14900000,3.30600000,3.09900000,3.27500000,1787767.56000000
2022-07-08,3.27300000,3.34500000,3.15000000,3.16400000,1730613.60000000
2022-07-09,3.16400000,3.23600000,3.15800000,3.20300000,850871.11000000
2022-07-10,3.20400000,3.23800000,3.09200000,3.11600000,1162885.48000000
2022-07-11,3.11600000,3.11900000,2.95400000,2.95800000,1344759.71000000
2022-07-12,2.95700000,3.02800000,2.90000000,2.91000000,1508604.67000000
2022-07-13,2.91100000,3.04600000,2.84300000,3.04000000,1211904.94000000
2022-07-14,3.03900000,3.14300000,2.95100000,3.13500000,1338758.40000000
2022-07-15,3.13500000,3.18400000,3.07400000,3.12800000,1999451.00000000
2022-07-16,3.12700000,3.28000000,3.06200000,3.25300000,1147927.44000000
2022-07-17,3.25200000,3.35600000,3.19800000,3.22200000,1459222.55000000
2022-07-18,3.22000000,3.48600000,3.21900000,3.46100000,2366091.32000000
2022-07-19,3.46200000,3.70000000,3.35400000,3.51500000,2083650.34000000
2022-07-20,3.51300000,3.61000000,3.28000000,3.35600000,2448490.95000000
2022-07-21,3.35500000,3.39500000,3.23200000,3.38700000,1451745.61000000
2022-07-22,3.38600000,3.47400000,3.33300000,3.34500000,1320016.98000000
2022-07-23,3.34500000,3.47300000,3.24700000,3.32900000,1042578.15000000
2022-07-24,3.32800000,3.46900000,3.31000000,3.40900000,1088771.68000000
2022-07-25,3.40800000,3.44100000,3.24300000,3.24400000,1254395.85000000
2022-07-26,3.24600000,3.24800000,3.12800000,3.24600000,852245.59000000
2022-07-27,3.24700000,3.49900000,3.21100000,3.49400000,1148323.49000000
2022-07-28,3.49500000,3.70400000,3.39600000,3.59900000,2530532.32000000
2022-07-29,3.59900000,4.17300000,3.58500000,3.98400000,7232279.87000000
2022-07-30,3.98400000,4.15700000,3.88300000,3.92700000,3980115.33000000
2022-07-31,3.92900000,4.23000000,3.90400000,3.96100000,2883140.48000000
2022-08-01,3.96000000,4.04200000,3.77000000,3.83400000,2168835.86000000
2022-08-02,3.83500000,3.88800000,3.67900000,3.78800000,1487881.57000000
2022-08-03,3.79000000,4.06900000,3.73100000,3.94100000,1893743.81000000
2022-08-04,3.94000000,4.10000000,3.91200000,4.06400000,2552926.10000000
2022-08-05,4.06500000,4.31100000,4.01800000,4.14400000,3259283.56000000
2022-08-06,4.14400000,4.23000000,4.12300000,4.15900000,945096.40000000
2022-08-07,4.15900000,4.48300000,4.08100000,4.38800000,2404179.14000000
2022-08-08,4.38600000,4.68400000,4.38300000,4.47400000,2971728.59000000
2022-08-09,4.47400000,4.49200000,4.22900000,4.37400000,1279361.59000000
2022-08-10,4.37300000,4.53300000,4.23800000,4.44700000,1746796.81000000
2022-08-11,4.44800000,4.52400000,4.30100000,4.31800000,1505810.26000000
2022-08-12,4.32000000,4.36700000,4.23000000,4.36700000,860995.64000000
2022-08-13,4.36800000,4.45900000,4.32700000,4.42600000,1174520.18000000
2022-08-14,4.42700000,4.49500000,4.25000000,4.25400000,1012636.79000000
2022-08-15,4.25400000,4.38600000,4.17200000,4.23500000,1280363.06000000
2022-08-16,4.23500000,4.26000000,4.00000000,4.14900000,912118.52000000
2022-08-17,4.14900000,4.20400000,3.96400000,3.98000000,1130257.43000000
2022-08-18,3.98100000,4.05500000,3.88100000,3.88800000,625873.45000000
2022-08-19,3.88600000,3.88700000,3.53000000,3.60000000,1526766.65000000
2022-08-20,3.60000000,3.79200000,3.59500000,3.74500000,872147.13000000
2022-08-21,3.74400000,3.95800000,3.73900000,3.93400000,1070643.83000000
2022-08-22,3.93500000,3.96800000,3.77900000,3.96200000,951756.33000000
2022-08-23,3.96200000,3.97400000,3.85600000,3.92200000,723327.80000000
2022-08-24,3.92600000,3.96600000,3.85600000,3.91400000,601706.90000000
2022-08-25,3.91500000,4.07100000,3.91100000,4.03800000,837049.68000000
2022-08-26,4.03800000,4.03800000,3.72400000,3.74200000,838142.48000000
2022-08-27,3.74100000,3.84100000,3.68400000,3.73200000,803722.40000000
2022-08-28,3.73400000,3.95400000,3.70600000,3.80400000,1041979.06000000
2022-08-29,3.80400000,4.03500000,3.79000000,4.03100000,970768.43000000
2022-08-30,4.03000000,4.32000000,3.90100000,4.00400000,3379288.60000000
2022-08-31,4.00500000,4.12500000,3.91000000,3.91500000,1787816.40000000
2022-09-01,3.91600000,3.98100000,3.84700000,3.96700000,1107746.11000000
2022-09-02,3.96900000,4.05800000,3.91800000,3.98000000,819728.67000000
2022-09-03,3.98100000,4.02700000,3.95900000,4.02500000,523147.90000000
2022-09-04,4.02600000,4.13400000,4.01600000,4.13200000,1062731.04000000
2022-09-05,4.13300000,4.19900000,4.07300000,4.14800000,1208514.78000000
2022-09-06,4.14700000,4.25600000,3.89500000,3.90400000,1228676.08000000
2022-09-07,3.90200000,4.13800000,3.84500000,4.11200000,950731.77000000
2022-09-08,4.11400000,4.14100000,3.99700000,4.07600000,820118.56000000
2022-09-09,4.07500000,4.36200000,4.06900000,4.32500000,1641722.61000000
2022-09-10,4.32700000,4.38600000,4.25700000,4.33900000,780178.04000000
2022-09-11,4.34000000,4.55000000,4.27300000,4.54300000,1870966.06000000
2022-09-12,4.54300000,4.59100000,4.38200000,4.41400000,1587656.61000000
2022-09-13,4.41500000,4.45400000,4.11200000,4.13700000,1307610.77000000
2022-09-14,4.13600000,4.24300000,4.10500000,4.16500000,858800.02000000
2022-09-15,4.16300000,4.18500000,4.01500000,4.05600000,1388865.10000000
2022-09-16,4.05700000,4.20000000,4.02500000,4.17300000,1117956.02000000
2022-09-17,4.17400000,4.38000000,4.17200000,4.36700000,818242.66000000
2022-09-18,4.36800000,4.50100000,4.20400000,4.25400000,1934476.93000000
2022-09-19,4.25500000,4.36700000,4.11900000,4.34900000,1753411.85000000
2022-09-20,4.35000000,4.39500000,4.29300000,4.33300000,1125194.55000000
2022-09-21,4.33300000,4.44000000,4.17700000,4.23200000,3480936.39000000
2022-09-22,4.23200000,4.51800000,4.21600000,4.49500000,1362092.59000000
2022-09-23,4.49500000,4.54900000,4.35700000,4.50300000,1846889.58000000
2022-09-24,4.50400000,4.69500000,4.49500000,4.49500000,1814032.29000000
2022-09-25,4.49500000,4.62200000,4.46000000,4.61800000,1239252.15000000
2022-09-26,4.61700000,4.65700000,4.51400000,4.62600000,1436475.77000000
2022-09-27,4.62600000,4.85800000,4.60800000,4.71700000,2128463.34000000
2022-09-28,4.71600000,4.89500000,4.58200000,4.86300000,2585545.80000000
2022-09-29,4.86400000,5.08900000,4.69500000,4.91900000,2143857.94000000
2022-09-30,4.91800000,4.95400000,4.60000000,4.76500000,1772022.69000000
2022-10-01,4.76500000,4.77400000,4.50100000,4.51900000,1806952.90000000
2022-10-02,4.51900000,4.66100000,4.44200000,4.57700000,1603367.48000000
2022-10-03,4.57800000,4.65100000,4.53300000,4.60100000,1256111.07000000
2022-10-04,4.60100000,4.82500000,4.57400000,4.78600000,1500148.92000000
2022-10-05,4.78600000,4.81800000,4.63900000,4.67200000,1283905.16000000
2022-10-06,4.67100000,4.75800000,4.55200000,4.64000000,1355209.09000000
2022-10-07,4.64000000,4.70000000,4.54200000,4.61600000,1010804.09000000
2022-10-08,4.61600000,4.62100000,4.49600000,4.51600000,546962.73000000
2022-10-09,4.51600000,4.56900000,4.48200000,4.56400000,462181.61000000
2022-10-10,4.56400000,4.60800000,4.48500000,4.49500000,634340.83000000
2022-10-11,4.49400000,4.57200000,4.41400000,4.51100000,1016620.77000000
2022-10-12,4.51000000,4.60600000,4.43300000,4.44700000,1131387.56000000
2022-10-13,4.44600000,4.47500000,4.10000000,4.37400000,1687644.02000000
2022-10-14,4.37300000,4.49100000,4.36600000,4.38100000,766695.66000000
2022-10-15,4.38100000,4.50000000,4.35400000,4.45300000,425622.50000000
2022-10-16,4.45400000,4.60700000,4.45300000,4.59200000,574854.77000000
2022-10-17,4.59100000,4.68100000,4.56400000,4.63500000,675918.45000000
2022-10-18,4.63500000,4.64300000,4.39500000,4.43600000,1352166.54000000
2022-10-19,4.43600000,4.48000000,4.35800000,4.41900000,623138.51000000
2022-10-20,4.41900000,4.54600000,4.37400000,4.40800000,830122.21000000
2022-10-21,4.40500000,4.41100000,4.28300000,4.37000000,509874.74000000
2022-10-22,4.37100000,4.40500000,4.34000000,4.39000000,251642.59000000
2022-10-23,4.38700000,4.48600000,4.36400000,4.47300000,456388.28000000
2022-10-24,4.47300000,4.49300000,4.38000000,4.39900000,524788.64000000
2022-10-25,4.39800000,4.53000000,4.34100000,4.44300000,890338.27000000
2022-10-26,4.44300000,4.55900000,4.43700000,4.51500000,832771.05000000
2022-10-27,4.51600000,4.56300000,4.41000000,4.44500000,702771.08000000
2022-10-28,4.44500000,4.60000000,4.40000000,4.53900000,670207.62000000
2022-10-29,4.53900000,4.72800000,4.50000000,4.63600000,1036814.88000000
2022-10-30,4.63700000,4.80000000,4.60900000,4.72400000,1160407.83000000
2022-10-31,4.72400000,4.90000000,4.62000000,4.73400000,1532236.54000000
2022-11-01,4.73300000,4.82800000,4.53100000,4.59900000,1236680.58000000
