timestamp,open,high,low,close,volume
2022-04-21,4.31900000,5.19900000,4.31500000,4.49800000,12485922.50000000
2022-04-22,4.49700000,4.81700000,4.45600000,4.71800000,5474718.10000000
2022-04-23,4.71800000,5.04000000,4.52100000,4.85800000,6681582.80000000
2022-04-24,4.85800000,5.21900000,4.82000000,5.16700000,9603053.60000000
2022-04-25,5.17600000,5.49900000,4.88600000,5.32700000,10531760.10000000
2022-04-26,5.32800000,5.59100000,4.82600000,4.97600000,6354773.10000000
2022-04-27,4.97400000,5.31300000,4.94900000,5.16400000,4246333.70000000
2022-04-28,5.16500000,5.59000000,5.09500000,5.56800000,5220073.20000000
2022-04-29,5.56800000,5.65500000,5.01700000,5.22100000,5606255.40000000
2022-04-30,5.21900000,5.35600000,4.13800000,4.34100000,4663231.40000000
2022-05-01,4.34100000,4.39000000,4.04000000,4.27400000,3824290.70000000
2022-05-02,4.27500000,4.43200000,3.94200000,4.11100000,4060627.50000000
2022-05-03,4.11200000,4.33400000,3.99100000,4.19900000,3202805.50000000
2022-05-04,4.20000000,4.57700000,4.02400000,4.55300000,3771622.30000000
2022-05-05,4.55200000,4.56700000,3.81500000,3.98000000,4442404.50000000
2022-05-06,3.97800000,4.00200000,3.64500000,3.77000000,3016557.70000000
2022-05-07,3.76900000,3.90600000,3.53400000,3.67200000,2361170.60000000
2022-05-08,3.67300000,3.69300000,3.34200000,3.39300000,2879853.50000000
2022-05-09,3.39400000,3.48100000,2.58400000,2.61600000,9099343.60000000
2022-05-10,2.61400000,3.02000000,2.52900000,2.69300000,8663060.20000000
2022-05-11,2.69300000,2.77700000,1.69600000,1.91700000,9578729.77000000
2022-05-12,1.91100000,2.03900000,1.40500000,1.66400000,9694607.78000000
2022-05-13,1.66400000,2.34600000,1.59000000,2.04700000,18813801.70000000
2022-05-14,2.04900000,2.30200000,1.92700000,2.25900000,6882083.70000000
2022-05-15,2.26000000,2.87000000,2.19500000,2.67800000,7026946.00000000
2022-05-16,2.67800000,2.68200000,2.26000000,2.39900000,5109160.90000000
2022-05-17,2.40100000,2.72200000,2.36700000,2.64900000,4078314.20000000
2022-05-18,2.64500000,2.68400000,2.30500000,2.35200000,3997915.30000000
2022-05-19,2.35100000,2.70900000,2.21100000,2.51000000,16545644.80000000
2022-05-20,2.51000000,2.59300000,2.32900000,2.47000000,26973465.40000000
2022-05-21,2.47000000,2.88200000,2.41000000,2.78200000,15060470.60000000
2022-05-22,2.78200000,2.86400000,2.67600000,2.78500000,3258217.60000000
2022-05-23,2.78300000,2.92900000,2.51900000,2.55000000,9766472.20000000
