token,date_in,buy_price,date_out,sell_price,profit_percentage
AAVEUSDT,2022-05-11,82.5,2022-05-30,117.4,42.30303030303031
AAVEUSDT,2022-06-11,77.2,2022-07-09,81.9,6.088082901554408
AAVEUSDT,2022-08-19,83.4,2022-10-18,82.5,-1.0791366906474888
AAVEUSDT,2022-11-09,58.1,2022-11-30,65.3,12.392426850258168
AAVEUSDT,2022-12-16,54.8,2023-01-08,59.3,8.211678832116789
AAVEUSDT,2023-06-10,52.7,2023-06-25,68.76,30.474383301707782
AAVEUSDT,2023-08-17,55.43,2023-09-18,60.56,9.25491611040953
AAVEUSDT,2024-04-12,99.81,2024-05-20,98.03,-1.7833884380322624
ADAUSDT,2022-05-11,0.5187,2022-05-31,0.6268,20.840562945826097
ADAUSDT,2022-08-19,0.45,2023-01-06,0.2786,-38.08888888888889
ADAUSDT,2023-06-07,0.3223,2023-07-13,0.3567,10.673285758610005
ADAUSDT,2023-08-17,0.2553,2023-10-01,0.2659,4.1519780650215425
ADAUSDT,2024-01-07,0.4945,2024-02-09,0.5407,9.342770475227494
ADAUSDT,2024-03-19,0.5864,2024-05-17,0.4824,-17.73533424283766
ADAUSDT,2024-08-05,0.3119,2024-08-22,0.3763,20.64764347547291
ADAUSDT,2024-12-19,0.8806,2025-01-14,0.9626,9.3118328412446
ALGOUSDT,2022-05-11,0.4504,2022-07-16,0.3405,-24.400532859680283
ALGOUSDT,2022-08-19,0.3029,2022-09-09,0.3244,7.098052162429851
ALGOUSDT,2022-12-16,0.1849,2023-01-07,0.1939,4.86749594375337
ALGOUSDT,2023-04-19,0.1991,2023-08-12,0.1157,-41.888498242089405
ALGOUSDT,2023-08-17,0.093,2023-09-20,0.1003,7.849462365591399
ALGOUSDT,2024-04-12,0.1936,2024-07-15,0.1577,-18.54338842975206
ALGOUSDT,2024-12-19,0.3324,2025-01-14,0.3528,6.137184115523475
ANKRUSDT,2022-05-11,0.03344,2022-07-19,0.03157,-5.592105263157885
ANKRUSDT,2022-11-08,0.02459,2023-01-08,0.01903,-22.610817405449378
ANKRUSDT,2023-05-08,0.02612,2023-06-24,0.0266,1.837672281776408
ANKRUSDT,2023-08-16,0.0213,2023-09-23,0.02017,-5.3051643192488225
ANKRUSDT,2024-01-07,0.02404,2024-02-14,0.02654,10.399334442595684
ANKRUSDT,2024-04-13,0.04019,2024-08-23,0.02838,-29.385419258522017
ATOMUSDT,2022-05-11,10.79,2022-07-19,10.519,-2.5115848007414185
ATOMUSDT,2022-11-09,9.791,2023-01-02,9.818,0.27576345623531046
ATOMUSDT,2023-06-07,9.434,2023-07-03,9.942,5.384778460886166
ATOMUSDT,2023-08-17,7.387,2023-09-18,7.384,-0.040611885745217624
ATOMUSDT,2024-04-12,9.371,2024-05-05,9.335,-0.3841639099349012
ATOMUSDT,2024-07-04,5.99,2024-08-24,5.348,-10.717863105175297
ATOMUSDT,2024-12-19,6.816,2025-01-14,6.145,-9.844483568075121
AVAXUSDT,2022-05-11,31.17,2022-07-18,23.95,-23.16329804299006
AVAXUSDT,2022-11-09,12.91,2022-12-04,13.93,7.900852052672344
AVAXUSDT,2023-06-10,11.65,2023-07-13,14.11,21.11587982832617
AVAXUSDT,2023-08-17,10.57,2023-10-01,9.75,-7.75780510879849
AVAXUSDT,2024-01-22,29.53,2024-02-10,40.2,36.132746359634275
AVAXUSDT,2024-04-02,46.86,2024-05-20,40.13,-14.36192915066154
AVAXUSDT,2024-08-05,19.54,2024-08-22,25.22,29.06857727737973
AVAXUSDT,2024-12-19,38.83,2025-01-14,35.79,-7.82899819727015
AXSUSDT,2022-06-12,14.44,2022-07-18,16.36,13.29639889196676
AXSUSDT,2022-08-19,14.2,2022-12-05,8.79,-38.098591549295776
AXSUSDT,2023-05-08,6.81,2023-07-01,6.5,-4.5521292217327405
AXSUSDT,2023-08-16,5.27,2023-10-23,4.68,-11.195445920303603
AXSUSDT,2024-04-12,7.995,2024-05-20,7.853,-1.776110068793
AXSUSDT,2024-07-04,5.067,2024-08-23,5.321,5.01282810341424
BATUSDT,2022-05-11,0.3754,2022-08-10,0.4646,23.76132125732552
BATUSDT,2022-11-09,0.2311,2023-01-13,0.2142,-7.312851579402856
BATUSDT,2023-03-04,0.2594,2023-03-31,0.2685,3.508095605242867
BATUSDT,2023-05-08,0.2135,2023-07-13,0.2136,0.04683840749415304
BATUSDT,2023-08-17,0.1669,2023-10-01,0.1854,11.084481725584192
BATUSDT,2024-04-13,0.2395,2024-08-23,0.1869,-21.962421711899786
BNBUSDT,2022-05-11,271.5,2022-07-18,264.1,-2.725598526703491
BNBUSDT,2022-12-16,231.2,2023-01-04,258.9,11.980968858131485
BNBUSDT,2023-06-05,276.9,2023-07-13,256.1,-7.511737089201861
BNBUSDT,2023-08-17,218.1,2023-10-22,217.8,-0.1375515818431834
BNBUSDT,2024-07-04,513.6,2024-11-09,624.66,21.62383177570092
BTCUSDT,2022-05-11,29103.94,2022-05-30,31734.22,9.037539247263437
BTCUSDT,2022-06-13,22487.41,2022-07-18,22432.58,-0.24382532270278398
BTCUSDT,2022-08-19,20834.39,2022-09-12,22395.74,7.49409989925312
BTCUSDT,2022-11-09,15922.81,2022-12-13,17774.7,11.63042201721933
BTCUSDT,2023-08-17,26623.41,2023-09-19,27210.26,2.2042630902652913
BTCUSDT,2024-08-04,58161.0,2024-08-23,64037.24,10.103402623751307
CAKEUSDT,2022-05-11,4.276,2022-07-18,3.461,-19.059869036482695
CAKEUSDT,2022-11-09,3.82,2023-01-13,3.588,-6.073298429319366
CAKEUSDT,2023-04-24,2.881,2023-10-02,1.237,-57.063519611246086
CAKEUSDT,2024-01-23,2.437,2024-02-14,2.703,10.91505949938449
CAKEUSDT,2024-04-12,3.191,2024-05-21,2.85,-10.686305233469124
CAKEUSDT,2024-07-04,1.806,2024-08-21,1.843,2.048726467331114
CAKEUSDT,2024-12-19,2.309,2025-01-14,2.297,-0.5197055002165444
CHZUSDT,2022-05-11,0.1078,2022-07-16,0.1105,2.504638218923928
CHZUSDT,2022-12-16,0.1211,2023-01-10,0.1206,-0.4128819157720895
CHZUSDT,2023-03-08,0.1108,2023-04-05,0.1305,17.779783393501813
CHZUSDT,2023-05-08,0.1132,2023-07-13,0.0842,-25.618374558303884
CHZUSDT,2023-08-16,0.0679,2023-09-30,0.0619,-8.836524300441834
CHZUSDT,2024-03-19,0.12067,2024-04-08,0.15791,30.861025938509982
CHZUSDT,2024-04-12,0.12007,2024-05-09,0.12815,6.729407845423495
CHZUSDT,2024-06-18,0.08028,2024-08-23,0.0615,-23.39312406576981
COMPUSDT,2022-05-11,68.9,2022-07-19,61.09,-11.335268505079828
COMPUSDT,2022-08-19,49.97,2022-09-10,54.03,8.124874924954979
COMPUSDT,2022-11-08,42.12,2022-12-09,39.27,-6.766381766381753
COMPUSDT,2022-12-16,34.1,2023-01-08,34.94,2.4633431085043878
COMPUSDT,2023-06-10,26.6,2023-06-25,37.79,42.06766917293232
COMPUSDT,2023-08-17,39.89,2023-09-28,49.46,23.990975181749814
COMPUSDT,2024-03-19,66.44,2024-05-21,61.85,-6.908488862131241
COMPUSDT,2024-08-03,44.39,2024-08-21,49.7,11.962153638206809
CRVUSDT,2022-05-11,1.51,2022-07-05,0.956,-36.688741721854306
CRVUSDT,2022-08-17,1.183,2022-11-04,1.025,-13.355874894336445
CRVUSDT,2022-11-08,0.771,2023-01-08,0.577,-25.162127107652406
CRVUSDT,2023-05-08,0.832,2023-06-30,0.761,-8.533653846153841
CRVUSDT,2023-07-30,0.632,2023-09-22,0.4909,-22.325949367088608
CRVUSDT,2024-01-24,0.4478,2024-02-12,0.5204,16.212594908441268
CRVUSDT,2024-04-12,0.4805,2024-05-20,0.463,-3.6420395421435923
CRVUSDT,2024-06-08,0.4004,2024-08-12,0.3036,-24.175824175824175
DOGEUSDT,2022-05-11,0.0853,2022-08-14,0.08168,-4.243845252051581
DOGEUSDT,2022-12-16,0.07569,2023-01-12,0.08025,6.0245739199365955
DOGEUSDT,2023-06-05,0.0664,2023-07-13,0.07042,6.054216867469873
DOGEUSDT,2023-08-16,0.06717,2023-10-01,0.06319,-5.925264254875685
DOGEUSDT,2024-01-03,0.08201,2024-02-14,0.0855,4.255578587977085
DOGEUSDT,2024-07-04,0.10502,2024-07-20,0.13424,27.82327175776042
DOGEUSDT,2024-08-05,0.09436,2024-08-23,0.11293,19.67994913098771
DOGEUSDT,2024-12-19,0.31431,2025-01-14,0.34748,10.553275428716884
DOTUSDT,2022-05-11,9.09,2022-07-18,7.66,-15.73157315731573
DOTUSDT,2022-12-16,4.652,2023-01-08,4.826,3.7403267411865753
DOTUSDT,2023-06-10,4.517,2023-07-13,5.545,22.758468009740966
DOTUSDT,2023-08-17,4.429,2023-10-01,4.263,-3.748024384736969
DOTUSDT,2024-04-12,7.24,2024-05-20,7.575,4.627071823204419
DOTUSDT,2024-08-05,4.2,2024-09-24,4.635,10.357142857142847
DOTUSDT,2024-12-19,6.941,2025-01-14,6.424,-7.448494453248804
EGLDUSDT,2022-05-11,85.14,2022-07-15,59.61,-29.985905567300918
EGLDUSDT,2022-11-08,49.28,2022-12-06,45.41,-7.853084415584425
EGLDUSDT,2022-12-16,39.21,2023-01-11,36.37,-7.24305024228514
EGLDUSDT,2023-06-10,29.96,2023-07-13,37.06,23.698264352469963
EGLDUSDT,2023-08-17,26.76,2023-10-21,25.93,-3.1016442451420096
EGLDUSDT,2024-04-12,43.44,2024-07-05,33.18,-23.618784530386737
EGLDUSDT,2024-12-19,34.59,2025-01-14,31.94,-7.661173749638629
ENJUSDT,2022-05-11,0.623,2022-07-19,0.624,0.1605136436597112
ENJUSDT,2022-08-19,0.561,2022-10-29,0.4558,-18.752228163992882
ENJUSDT,2022-11-09,0.3232,2023-01-08,0.2773,-14.201732673267326
ENJUSDT,2023-03-09,0.3585,2023-04-07,0.4718,31.60390516039052
ENJUSDT,2023-05-08,0.3431,2023-09-06,0.2689,-21.626348003497533
ENJUSDT,2024-04-12,0.3609,2024-05-17,0.3192,-11.554447215295099
ENJUSDT,2024-07-04,0.1593,2024-08-23,0.161,1.0671688637790377
ENJUSDT,2024-12-19,0.221,2025-01-14,0.1933,-12.53393665158371
EOSUSDT,2022-05-11,1.409,2022-07-19,1.077,-23.562810503903485
EOSUSDT,2022-10-10,1.034,2022-11-04,1.196,15.667311411992255
EOSUSDT,2022-11-08,0.964,2022-12-07,0.989,2.5933609958506247
EOSUSDT,2023-04-19,1.1,2023-07-01,0.782,-28.909090909090914
EOSUSDT,2023-08-16,0.632,2023-10-01,0.604,-4.430379746835447
EOSUSDT,2024-04-13,0.7316,2024-05-20,0.8519,16.44341170038272
EOSUSDT,2024-06-07,0.7284,2024-08-23,0.5563,-23.627127951674908
ETHUSDT,2022-05-11,2084.99,2022-07-16,1355.85,-34.97091113146825
